Date,"CBOE Market Volatility Index, VXO (Avg) ","Real Gross Domestic Product (SAAR, Bil.Chn.2009$)  ","Real Personal Consumption Expenditures (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Durable Goods (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Nondurable Goods (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Services (SAAR, Bil.Chn.2009.$)  ","Real Private Fixed Investment (SAAR, Bil.Chn.2009$)  ","Real Private Nonresidential Fixed Investment (SAAR, Bil.Chn.2009$)  ","Gross Domestic Product: Chain Price Index (SA, 2009=100)  ","Federal Funds [Effective] Rate (Avg, % p.a.) ","5-Year Treasury Note Yield at Constant Maturity (Avg, % p.a.) ","Aggregate Hours: Nonfarm Payrolls, Total (SAAR, Bil.Hrs)  ","Money Stock: M2 (SA, Bil.$) ","Civilian Noninstitutional Population: 16 Years and Over (NSA, Thous)  ","CBOE Market Volatility Index, VIX (Avg)","Stock Price Index: Standard & Poor's 100 (Avg, Close, Jan-2-76=100)","Standard & Poor's 500 Stock Price Index (Avg, 1941-43=10)",WuXiaShadowRate,Bloom (2009) Spliced Actual/Implied Volatility,GDP Deflator Inflation Rate (Annualized),Ex-Post Real Rate (Annualized),Ex-Post S&P 500 Equity Return (Annualized),Ex-Post Equity Premium (Annualized)
1960,NaN,3123.2,1876.3,83.3,647.6,1212.5,368.9,190.7,17.41,3.93,NaN,104.91,NaN,116707.6667,NaN,NaN,NaN,3.933333333,NaN,NaN,NaN,NaN,NaN
1960.25,NaN,3111.3,1900.1,85.2,654.7,1225.9,362.2,193.5,17.473,3.7,NaN,105.022,NaN,117036.6667,NaN,NaN,NaN,3.696666667,NaN,1.444831431,2.255168569,NaN,NaN
1960.5,NaN,3119.1,1892.5,84.5,650.9,1224.5,354.4,190.1,17.552,2.942307692,NaN,104.55,NaN,117411,NaN,NaN,NaN,2.936666667,NaN,1.80442847,1.137879222,NaN,NaN
1960.75,NaN,3081.3,1894.9,82.4,651.3,1236.3,353.7,189.7,17.631,2.288461538,NaN,103.436,NaN,117824.3333,NaN,NaN,NaN,2.296666667,NaN,1.796325106,0.492136432,NaN,NaN
1961,NaN,3102.3,1894.4,77.9,655.2,1248.7,350.7,187,17.651,2.016153846,NaN,102.788,NaN,118254.3333,NaN,NaN,62.02076923,2.003333333,NaN,0.45348908,1.562664766,NaN,NaN
1961.25,NaN,3159.9,1922.6,79.5,664,1266.9,356.4,191.1,17.688,1.750769231,NaN,103.163,NaN,118636,NaN,NaN,66.00153846,1.733333333,NaN,0.837601823,0.913167408,24.88349409,23.97032669
1961.5,NaN,3212.6,1932,81.4,664.5,1270.9,365,193,17.727,1.668461538,NaN,104.233,NaN,119000.6667,NaN,NaN,66.87461538,1.683333333,NaN,0.880982991,0.787478548,5.256560865,4.469082318
1961.75,NaN,3277.7,1970.7,85.4,673.5,1293.3,376.5,198.9,17.769,2.371538462,NaN,105.376,NaN,119189.6667,NaN,NaN,70.24846154,2.4,NaN,0.946585973,1.424952489,19.68758169,18.2626292
1962,NaN,3336.8,1991.7,87.2,679.1,1305.5,383.7,202.9,17.859,2.453076923,3.836923077,105.912,NaN,119378.6667,NaN,NaN,69.86307692,2.456666667,NaN,2.020886751,0.432190173,-2.20045025,-2.632640422
1962.25,NaN,3372.7,2016.1,89.6,681.8,1325,394.6,208.4,17.908,2.606153846,3.632307692,107.5,NaN,119819.3333,NaN,NaN,62.17461538,2.606666667,NaN,1.095983016,1.51017083,-46.63619155,-48.14636238
1962.5,NaN,3404.8,2032.5,90.2,687.1,1336.4,397.8,210.9,17.95,2.845384615,3.738461538,107.869,NaN,120368,NaN,NaN,57.83230769,2.846666667,17.89355333,0.937029822,1.908354793,-28.95969101,-30.8680458
1962.75,NaN,3418,2061.3,94.2,691,1353.2,396.6,210.2,17.992,2.913076923,3.598461538,107.916,NaN,121045.6667,NaN,NaN,59.45461538,2.923333333,19.13694667,0.934839889,1.978237034,11.06627149,9.088034453
1963,NaN,3456.1,2075.2,96.1,694.7,1358.6,401.8,210.7,18.08,2.966153846,3.637692308,108.067,NaN,121640,NaN,NaN,65.46230769,2.966666667,13.58538667,1.951656123,1.014497723,38.50450683,37.49000911
1963.25,NaN,3501.1,2095.1,98.1,697.1,1373.6,419.7,217.2,18.094,2.963846154,3.753846154,109.245,NaN,122166.6667,NaN,NaN,69.65923077,2.963333333,11.98157333,0.309614656,2.654231498,24.85628012,22.20204862
1963.5,NaN,3569.5,2123.7,99.4,703.5,1397.6,430,223.2,18.112,3.301538462,3.913076923,109.844,NaN,122669.6667,NaN,NaN,70.90153846,3.33,12.93689667,0.397724167,2.903814295,7.070764043,4.166949748
1963.75,NaN,3595,2141.4,100.9,702.6,1416.7,442.9,229.7,18.231,3.453076923,4.004615385,110.432,NaN,123188.6667,NaN,NaN,73.22,3.453333333,18.13786,2.61949592,0.833581003,12.87059014,12.03700914
1964,NaN,3672.7,2183.6,104.9,714.6,1439.5,458.2,234.5,18.3,3.461538462,4.078461538,110.562,NaN,123708,NaN,NaN,77.42,3.463333333,10.11308867,1.51104721,1.950491251,22.31061498,20.36012373
1964.25,NaN,3716.4,2222,107.6,728.3,1459.5,457.4,240,18.355,3.487692308,4.08,111.817,NaN,124203,NaN,NaN,80.20846154,3.49,12.43026333,1.200382841,2.287309467,14.15354785,11.86623838
1964.5,NaN,3766.9,2262.8,111.2,742.5,1478.6,464.8,247.7,18.447,3.458571429,4.051538462,112.668,NaN,124739.3333,NaN,NaN,82.77307692,3.456666667,11.81016,1.999895476,1.458675952,12.58953432,11.13085837
1964.75,NaN,3780.2,2269.2,107.7,743.9,1498.8,468.9,253,18.526,3.569230769,4.063846154,113.87,NaN,125289,NaN,NaN,84.73692308,3.576666667,11.99142,1.709358077,1.859872692,9.379433518,7.519560826
1965,NaN,3873.5,2319.8,117.8,751,1516.1,490,269.1,18.606,3.976923077,4.130769231,115.614,NaN,125814,NaN,NaN,86.42384615,3.973333333,11.37178,1.723583406,2.253339671,7.884880201,5.63154053
1965.25,NaN,3926.4,2345.5,117.9,758.2,1539.1,503.9,279,18.692,4.077692308,4.149230769,116.724,NaN,126324.6667,NaN,NaN,87.53,4.076666667,14.67960667,1.844606197,2.233086111,5.087182745,2.854096634
1965.5,NaN,4006.2,2385.9,122,769.6,1560.3,517.5,289.1,18.778,4.075384615,4.192307692,117.711,NaN,126745,NaN,NaN,86.51846154,4.073333333,12.05131767,1.836138799,2.239245816,-4.649508956,-6.888754772
1965.75,NaN,4100.6,2452.9,127.1,798.1,1586.8,529.5,300.9,18.9,4.159230769,4.502142857,119.215,NaN,127169.3333,NaN,NaN,91.68142857,4.166666667,11.40189333,2.590380092,1.568850678,23.18480626,21.61595558
1966,NaN,4201.9,2489.1,133.2,803.9,1603.2,549.3,313.5,19.016,4.556923077,4.923333333,121.269,NaN,127511.3333,NaN,NaN,91.6575,4.556666667,13.54631333,2.447523197,2.10939988,-0.104412398,-2.213812278
1966.25,NaN,4219.1,2495.4,127.9,811.5,1620.4,543.9,318.7,19.189,4.904615385,4.89,122.567,NaN,127868.6667,NaN,NaN,88.31615385,4.913333333,16.17146,3.622587252,1.282028133,-14.85430814,-16.13633627
1966.5,NaN,4249.2,2523.8,132,817.4,1633.6,544.5,322.9,19.359,5.403076923,5.372142857,123.404,NaN,128233.6667,NaN,NaN,81.58,5.41,20.91810667,3.528091774,1.874985149,-31.7355599,-33.61054505
1966.75,NaN,4285.6,2534.2,132,815.1,1651.3,530,322.9,19.518,5.571538462,5.208461538,124.171,NaN,128617,NaN,NaN,79.84230769,5.563333333,18.58479333,3.271875639,2.299662823,-8.612239337,-10.91190216
1967,NaN,4324.9,2548.9,129.5,824.3,1666.6,520,317.6,19.6,4.84,4.657692308,124.314,NaN,129043.6667,NaN,NaN,87.06769231,4.823333333,13.90947667,1.676979807,3.163020193,34.65294123,31.48992103
1967.25,NaN,4328.7,2583.7,135.1,830.4,1682.7,532.9,316.9,19.717,4.01,4.762307692,123.986,NaN,129527,NaN,NaN,91.65692308,3.99,16.61725333,2.380656619,1.629343381,20.54664841,18.91730503
1967.5,NaN,4366.1,2596.9,134,829.6,1705.6,539.3,316.3,19.894,3.89,5.312307692,124.774,NaN,130165.6667,NaN,NaN,94.39230769,3.893333333,11.88128333,3.574788378,0.315211622,11.76282955,11.44761793
1967.75,NaN,4401.2,2612.7,134.3,833.4,1719.8,555.5,322.7,20.112,4.143846154,5.697692308,125.555,NaN,130757.3333,NaN,NaN,94.52846154,4.173333333,14.25158667,4.359389247,-0.215543093,0.576554374,0.792097467
1968,NaN,4490.6,2674.8,142.7,849.8,1746.3,567.9,332.2,20.332,4.757692308,5.624615385,126.081,NaN,131267,NaN,NaN,91.73230769,4.786666667,16.46468333,4.351739095,0.405953213,-12.01053312,-12.41648634
1968.25,NaN,4566.4,2715.6,145.7,860.2,1773.6,566.5,328.1,20.559,5.966153846,5.856923077,127.123,NaN,131712.3333,NaN,NaN,97.94384615,5.98,16.00770333,4.441120675,1.525033171,26.20787175,24.68283857
1968.5,NaN,4599.3,2766.6,152.3,873.9,1796.2,575.3,332.6,20.757,5.939230769,5.528461538,128.262,NaN,132250,NaN,NaN,99.83384615,5.943333333,14.08184333,3.833895165,2.105335604,7.645179851,5.539844247
1968.75,NaN,4619.8,2779.1,151.4,874.1,1816,588.9,341.7,21.047,5.890769231,5.757692308,128.917,NaN,132880,NaN,NaN,105.2153846,5.916666667,11.99893,5.549797189,0.340972042,21.00090622,20.65993418
1969,NaN,4691.6,2810.2,154.2,883.8,1832.2,605.2,350.4,21.259,6.536153846,6.330769231,130.231,NaN,133476,NaN,NaN,101.1123077,6.566666667,14.73570333,4.008921185,2.527232661,-15.91106991,-18.43830257
1969.25,NaN,4706.7,2828.2,153.8,885.8,1854.7,608.4,354.2,21.54,8.167692308,6.514615385,131.348,NaN,134020.3333,NaN,NaN,101.7453846,8.326666667,14.55661667,5.252534644,2.915157664,2.49664273,-0.418514934
1969.5,NaN,4736.1,2841.9,153.4,889.1,1869.5,617.1,362.3,21.847,9.002307692,7.170769231,132.196,NaN,134595,NaN,NaN,94.59538462,8.983333333,18.70414667,5.660776246,3.341531446,-29.14591072,-32.48744217
1969.75,NaN,4715.5,2864.6,152.8,895,1892.8,603.4,360.4,22.12,8.962857143,7.652307692,132.434,NaN,135246.6667,NaN,NaN,94.23461538,8.94,15.79208,4.967425724,3.995431419,-1.528442174,-5.523873593
1970,NaN,4707.1,2882.3,150.4,902.7,1913,600.4,357.9,22.425,8.603333333,7.768461538,131.758,NaN,135949.6667,NaN,NaN,88.91538462,8.573333333,17.13594667,5.477692516,3.125640817,-23.24095927,-26.36660009
1970.25,NaN,4715.4,2895.6,152.2,902.1,1925.2,588.1,355.5,22.749,7.923076923,7.755384615,130.887,NaN,136676.6667,NaN,NaN,79.75692308,7.88,26.60668,5.737912177,2.185164746,-43.48065408,-45.66581883
1970.5,NaN,4757.2,2921.1,152.7,908.6,1947.1,598,356.8,22.935,6.742142857,7.514615385,130.076,NaN,137456,NaN,NaN,78.23461538,6.703333333,20.10648333,3.257175865,3.484966992,-7.708538421,-11.19350541
1970.75,NaN,4708.3,2913.1,142.6,919.2,1956.9,597.9,344.5,23.234,5.594615385,6.57,129.208,NaN,138260.3333,NaN,NaN,85.89153846,5.566666667,15.82339,5.181038017,0.413577368,37.34924721,36.93566984
1971,NaN,4834.3,2968.9,157.9,923,1970.4,610.1,347.4,23.589,3.852307692,5.522307692,129.536,NaN,139033.6667,NaN,NaN,96.34538462,3.856666667,14.04992,6.065511434,-2.213203742,45.94166873,48.15487247
1971.25,NaN,4861.9,2996.1,161.5,925.1,1990.3,633.1,352.1,23.905,4.563846154,6.064615385,130.102,NaN,139827.3333,NaN,NaN,101.4976923,4.563333333,14.36184667,5.32285616,-0.759010006,20.83862836,21.59763837
1971.5,NaN,4900,3020,165.8,923.2,2009,644,353.6,24.146,5.475384615,6.546923077,130.47,NaN,140602.6667,NaN,NaN,98.63615385,5.473333333,17.28470667,4.012437133,1.462947483,-11.43927843,-12.90222591
1971.75,NaN,4914.3,3070.2,172.8,929.5,2040.6,660.9,360.9,24.345,4.776923077,5.814285714,131.259,NaN,141401.6667,NaN,NaN,96.52928571,4.75,17.68376,3.28310189,1.493821187,-8.636570024,-10.13039121
1972,NaN,5002.4,3110.8,176.8,932.6,2075,689,372.4,24.742,3.537692308,5.724615385,133.512,NaN,143005.3333,NaN,NaN,105.4769231,3.54,13.58409667,6.470285922,-2.932593615,35.45829967,38.39089328
1972.25,NaN,5118.3,3170.2,181.2,957.8,2100.3,700.9,378.5,24.891,4.291538462,5.969230769,134.825,NaN,143758.6667,NaN,NaN,108.16,4.3,14.09740667,2.401635164,1.889903298,10.04776877,8.157865467
1972.5,NaN,5165.4,3219.1,185.9,971,2128.8,708.8,384,25.111,4.730769231,6.077692308,135.707,NaN,144522.6667,NaN,NaN,109.2923077,4.74,14.64021333,3.519881919,1.210887312,4.165760993,2.954873681
1972.75,NaN,5251.2,3294.6,195.8,989.3,2166.9,739.9,402.4,25.394,5.118461538,6.152307692,137.08,NaN,145215,NaN,NaN,113.97,5.143333333,15.05159333,4.4827714,0.635690138,16.76369644,16.1280063
1973,NaN,5380.5,3354.8,208.2,995.3,2194.7,768.9,419.3,25.72,6.466153846,6.576153846,138.945,NaN,145964.3333,NaN,NaN,115.0846154,6.536666667,17.905,5.102389489,1.363764357,3.892955156,2.529190799
1973.25,NaN,5441.5,3353.4,205.8,986.8,2213.4,774.7,434.9,26.142,7.767692308,6.724615385,140.204,NaN,146719.6667,NaN,NaN,107.4030769,7.816666667,22.90890667,6.509726798,1.25796551,-27.63152516,-28.88949067
1973.5,NaN,5411.9,3365.3,203.9,991.5,2228.2,772.5,441.6,26.631,10.48923077,7.35,140.98,NaN,147478.3333,NaN,NaN,104.9723077,10.56,18.67915667,7.413093756,3.076137013,-9.156900698,-12.23303771
1973.75,NaN,5462.4,3355.5,199.2,987.6,2236.6,765.8,444.9,27.092,10.03923077,6.829230769,141.584,NaN,148226,NaN,NaN,102.5061538,9.996666667,27.31494,6.865012239,3.17421853,-9.509497924,-12.68371645
1974,NaN,5417,3326.2,194.5,974.3,2233.4,750.6,444.4,27.644,9.335384615,7.020769231,141.776,NaN,148986.6667,NaN,NaN,95.78846154,9.323333333,23.62612,8.068089951,1.267294665,-27.11223992,-28.37953459
1974.25,NaN,5431.3,3337.9,195.5,967.9,2255.3,741.2,443.6,28.262,11.10538462,8.063076923,141.489,NaN,149746.6667,NaN,NaN,90.61307692,11.25,22.25403333,8.843775973,2.261608643,-22.21747798,-24.47908663
1974.5,NaN,5378.7,3351.6,196.7,969.9,2266.5,729,439.1,29.124,12.20384615,8.47,141.817,NaN,150498,NaN,NaN,76.13,12.09,31.90074333,12.01777215,0.186074005,-69.66245369,-69.84852769
1974.75,NaN,5357.2,3302.5,178,952.6,2289.3,689.8,427.6,30.008,9.535384615,7.673076923,140.38,NaN,151253,NaN,NaN,69.30076923,9.346666667,31.28447333,11.9605745,-2.425189883,-37.59455967,-35.16936979
1975,NaN,5292.4,3330.1,181.8,954.5,2310.6,650.7,403.2,30.686,6.449230769,7.280769231,137.153,NaN,151987.3333,NaN,NaN,78.15307692,6.303333333,24.61556,8.937004697,-2.487773928,48.08536879,50.57314271
1975.25,NaN,5333.2,3385.7,185.3,975.6,2339.4,643.3,393.5,31.134,5.374615385,7.736923077,136.169,NaN,152707.6667,NaN,NaN,88.84153846,5.42,20.88647667,5.797578036,-0.422962652,51.27395519,51.69691785
1975.5,NaN,5421.4,3434.1,196.9,985.1,2350.8,659,397.7,31.688,6.155384615,8.183846154,137.236,NaN,153579,NaN,NaN,87.99538462,6.16,21.40779667,7.055036282,-0.899651667,-3.827980217,-2.92832855
1975.75,NaN,5494.4,3470.5,202.6,982.7,2383.9,672.1,402.4,32.216,5.470714286,7.875384615,138.871,NaN,154336.3333,NaN,NaN,88.9,5.413333333,19.13975667,6.610065292,-1.139351006,4.091110788,5.230461794
1976,NaN,5618.5,3539.9,212.7,1002.7,2411.7,699.6,411.1,32.563,4.826923077,7.471538462,141.004,NaN,155075,NaN,NaN,98.84384615,4.826666667,19.00176333,4.285380373,0.541542704,42.41166031,41.87011761
1976.25,NaN,5661,3572.4,213.7,1018.1,2427.8,711.1,416.5,32.889,5.196153846,7.473076923,141.481,NaN,155773.6667,NaN,NaN,101.5053846,5.196666667,17.25419,3.984632351,1.211521495,10.62822167,9.416700178
1976.5,NaN,5689.8,3610.3,216.1,1025.9,2457.5,719.1,425.6,33.309,5.283076923,7.334615385,141.752,NaN,156526.6667,NaN,NaN,104.1807692,5.283333333,15.49167,5.075750152,0.207326771,10.40628339,10.19895662
1976.75,NaN,5732.5,3657.5,219.5,1036.7,2491.6,753.3,433.8,33.868,4.886923077,6.487142857,142.918,NaN,157222,NaN,NaN,102.8392857,4.873333333,17.16018,6.657194016,-1.770270939,-5.184047675,-3.413776736
1977,NaN,5799.2,3699.3,227.6,1036,2521.3,779.3,449.7,34.411,4.656153846,6.775,143.705,NaN,157910.6667,NaN,NaN,101.9275,4.66,14.36310333,6.362265971,-1.706112124,-3.562264211,-1.856152087
1977.25,NaN,5913,3719.7,232.9,1035.9,2531.1,819.9,462.1,34.952,5.148461538,6.848461538,146.06,NaN,158652.3333,NaN,NaN,98.89538462,5.156666667,15.73821,6.239764377,-1.091302839,-12.07968236,-10.98837952
1977.5,NaN,6017.6,3755.2,236.4,1041,2558.5,830.3,471.3,35.437,5.8,6.953571429,147.688,NaN,159429.6667,NaN,NaN,98.14214286,5.82,14.64717,5.512312157,0.287687843,-3.058282094,-3.345969937
1977.75,NaN,6018.2,3811.8,241.3,1063.4,2583,844.6,485.7,36.034,6.504615385,7.381538462,149.302,NaN,160140.3333,NaN,NaN,93.99615385,6.513333333,16.83479,6.682586061,-0.177970676,-17.26520009,-17.08722941
1978,NaN,6039.2,3833.8,234.9,1067.9,2624,852.2,489.9,36.637,6.752307692,7.816923077,149.736,NaN,160828.6667,NaN,NaN,89.38307692,6.756666667,15.51549,6.638288612,0.11401908,-20.12899872,-20.2430178
1978.25,NaN,6274,3915.6,252.4,1076.2,2663.3,910.5,527.8,37.338,7.259230769,8.179230769,154.016,NaN,161525.3333,NaN,NaN,96.05076923,7.283333333,18.41112667,7.581166436,-0.321935667,28.77821189,29.10014756
1978.5,NaN,6335.3,3932,249,1084.5,2682.3,935.1,545.8,37.987,8.067692308,8.428461538,155.008,NaN,162265,NaN,NaN,101.7138462,8.1,17.08954667,6.892968447,1.174723861,22.9146172,21.73989334
